Text Availability,Type of article,S No.,Owner,Title,Author,Author,Author,Author,Author,Author,Author,Author,Author,Author,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Other Term,Journal Title,Source,Article Identifier,Other ID,Vol. No,Issue,Pagination,Date Of Publication,Location Identifier,Abstract,Grant Number,Grant Number
,,32,ERIC,The Effects of Paraphrasing Interventions on Problem-Solving Accuracy for Children at Risk for Math Disabilities,"Moran, Amber S.","Swanson, H. Lee","Gerber, Michael M.","Fung, Wenson",,,,,,,Mathematics Instruction,Problem Solving,Word Problems (Mathematics),Grade 3,Elementary School Mathematics,Elementary School Students,At Risk Students,Learning Disabilities,Writing (Composition),Intervention,Statistical Analysis,Pretests Posttests,Comparative Analysis,Teaching Methods,,,,,,,,,,,,,Learning Disabilities Research & Practice,v29 n3 p97-105 Aug 2014,http://dx.doi.org/10.1111/ldrp.12035,EJ1035712,29,3,97-105,41852,http://eric.ed.gov/?id=EJ1035712,"The purpose of this study was to examine effectiveness of paraphrasing interventions on mathematics word problem-solving accuracy in third grade children (N = 72) at risk for mathematics disabilities (MD). Three instructional conditions directed students' attention through paraphrasing, via writing, to different propositions within word problems. Students were randomly assigned to one of four intervention conditions: paraphrase question propositions (restate), paraphrase relevant propositions (relevant) and paraphrase all propositions (complete) or an untreated control. A mixed ANCOVA indicated that paraphrasing relevant and complete propositions significantly increased posttest accuracy when compared to the control and restate condition. Results from the study provide support for the effectiveness of paraphrasing interventions that directs students to restate/paraphrase propositions of mathematics word problems relative to the control condition.",R3234A090002,R324A090002
,,33,ERIC,Visual Representations and Verbal Schemas: A Case Study of One Student with High-Functioning Autism,"Buncher, Amanda","Hord, Casey","Weaver, Kitiara","Gamel, Zachary",,,,,,,Verbal Communication,Case Studies,Schemata (Cognition),Mathematics Instruction,Teaching Methods,Grade 6,Autism,Pervasive Developmental Disorders,Intervention,Visual Aids,Visual Stimuli,Cognitive Processes,Males,Tutors,Teacher Student Relationship,,,,,,,,,,,,Journal of Research in Special Educational Needs,v19 n2 p79-91 Apr 2019,http://dx.doi.org/10.1111/1471-3802.12426,EJ1210638,19,2,79-91,43556,http://eric.ed.gov/?id=EJ1210638,"The researchers conducted an exploratory, qualitative case study to describe a combination of mathematics teaching strategies for a sixth-grade student with high-functioning autism spectrum disorder as he engaged with sixth-grade level mathematics. The interventions utilised in this study combined the use of visual representations with a variation in schema-based strategy instruction in which the schemas were presented verbally rather than visually. Doug tended to benefit from visual representations (e.g., gestures, manipulatives and mathematical notation on paper), and he was also quick to engage in mathematical conversations: yet, he often needed some support during these conversations to organise his thinking processes. The tutor was often able to supplement her conversations with Doug about mathematics with visual representations while using verbal schemas to help Doug productively structure his thinking processes.",,
,,34,ERIC,Does Early Algebra Matter? The Effectiveness of an Early Algebra Intervention in Grades 3 to 5,"Blanton, Maria","Stroud, Rena","Stephens, Ana","Gardiner, Angela Murphy","Stylianou, Despina A.","Knuth, Eric","Isler-Baykal, Isil","Strachota, Susanne",,,Algebra,Grade 3,Grade 4,Grade 5,Intervention,Elementary School Students,Mathematics Instruction,Instructional Effectiveness,Mathematics Achievement,Elementary School Mathematics,Problem Solving,At Risk Students,,,,,,,,,,,,,,,American Educational Research Journal,v56 n5 p1930-1972 Oct 2019,http://dx.doi.org/10.3102/0002831219832301,EJ1228107,56,5,1930-1972,43739,http://eric.ed.gov/?id=EJ1228107,"A cluster randomized trial design was used to examine the effectiveness of a Grades 3 to 5 early algebra intervention with a diverse student population. Forty-six schools in three school districts participated. Students in treatment schools were taught the intervention by classroom teachers during regular mathematics instruction. Students in control schools received only regular mathematics instruction. Using a three-level longitudinal piecewise hierarchical linear model, the study explored the impact of the intervention in terms of both performance (correctness) and strategy use in students' responses to written algebra assessments. Results show that during Grade 3, treatment students, including those in at-risk settings, improved at a significantly faster rate than control students on both outcome measures and maintained their advantage throughout the intervention.",R305A140092,
,,35,ERIC,Prevention: Necessary but Insufficient? A 2-Year Follow-Up of an Effective First-Grade Mathematics Intervention,"Bailey, Drew H.","Fuchs, Lynn S.","Gilbert, Jennifer K.","Geary, David C.","Fuchs, Douglas",,,,,,Grade 1,Grade 2,Grade 3,Elementary School Students,Intervention,Arithmetic,At Risk Students,Comparative Analysis,Teaching Methods,Mathematics Achievement,Mathematics Tests,Reading Tests,Mathematics Instruction,Followup Studies,Outcomes of Education,,,,,,,,,,,,Child Development,v91 n2 e382-e400 Mar-Apr 2020,http://dx.doi.org/10.1111/cdev.13175,EJ1246045,91,2,,e382-e400 Mar-Apr 2020,http://eric.ed.gov/?id=EJ1246045,"We present first-grade, second-grade, and third-grade impacts for a first-grade intervention targeting the conceptual and procedural bases that support arithmetic. At-risk students (average age at pretest = 6.5) were randomly assigned to three conditions: a control group (n = 224) and two variants of the intervention (same conceptual instruction but different forms of practice: speeded [n = 211] vs. nonspeeded [n = 204]). Impacts on all first-grade content outcomes were significant and positive, but no follow-up impacts were significant. Many intervention children achieved average mathematics achievement at the end of third grade, and prior math and reading assessment performance predicted which students will require sustained intervention. Finally, projecting impacts 2 years later based on nonexperimental estimates of effects of first-grade math skills overestimates long-term intervention effects.",R01HD053714,U54HD083211
,,36,ERIC,Interactive Apps Prevent Gender Discrepancies in Early-Grade Mathematics in a Low-Income Country in Sub-Sahara Africa,"Pitchford, Nicola J.","Chigeda, Antonie","Hubber, Paula J.",,,,,,,,Gender Differences,Computer Software,Low Income,Foreign Countries,Reading Achievement,Mathematics Achievement,Disproportionate Representation,Sociocultural Patterns,Intervention,Teaching Methods,Educational Technology,Handheld Devices,Computer Assisted Instruction,Elementary School Students,Mathematics Instruction,Comparative Analysis,,,,,,,,,,,Developmental Science,v22 n5 e12864 Sep 2019,http://dx.doi.org/10.1111/desc.12864,EJ1226141,22,5,,e12864 Sep 2019,http://eric.ed.gov/?id=EJ1226141,"Globally, gender differences are reported in the early acquisition of reading and mathematics as girls tend to outperform boys in reading, whereas boys tend to outperform girls in mathematics. This can have long-term impact resulting in an under-representation of girls in Science, Technology, Engineering and Mathematics subjects. Recent research suggests that sociocultural factors account for differences across genders in the acquisition of these foundational skills. In this study, we investigated whether a new technology-based intervention, that included activities accessible to both boys and girls, can reduce gender differences from emerging during the early primary school years. The novel instructional method used in this study employed apps developed by onebillion© delivered individually through touch-screen tablets. Over a series of experiments conducted in Malawi, a low-income country in sub-Sahara Africa, we found that when children were exposed to standard pedagogical practice typical gender differences emerged over the first grade (Experiment 1). In contrast, boys and girls learnt equally well with the new interactive apps designed to support the learning of mathematics (Experiment 2) and reading (Experiment 3). When implemented at the start of primary education, before significant gender discrepancies become established, this novel technology-based intervention can prevent significant gender effects for mathematics. These results demonstrate that different instructional practices influence the emergence of gender disparities in early mathematics. Digital interventions can mitigate gender differences in countries where standard pedagogical instruction typically hinders girls from acquiring early mathematical skills at the same rate as boys.",,
Available,Peer Reviewed,37,ERIC,Embedding Self-Regulation Instruction within Fractions Intervention for Third Graders with Mathematics Difficulties,"Wang, Amber Y.","Fuchs, Lynn S.","Fuchs, Douglas","Gilbert, Jennifer K.","Krowka, Sarah","Abramson, Rebecca",,,,,Mathematics Instruction,Self Control,Grade 3,Elementary School Students,Elementary School Mathematics,Program Effectiveness,Intervention,At Risk Students,Word Problems (Mathematics),Student Attitudes,Teaching Methods,Response to Intervention,Mathematics Skills,Fractions,Achievement Tests,Intelligence Tests,Vocabulary,,,,,,,,,,Grantee Submission,,http://dx.doi.org/10.1177/0022219419851750,ED595063,,,,2019,http://eric.ed.gov/?id=ED595063,"The purpose of this study was to explore the efficacy of fractions intervention with and without an embedded self-regulation (SR) component for third-grade students at risk for mathematics disabilities. Fractions intervention focused on magnitude understanding and word problems. Embedded SR was designed to support a growth mindset (fostering belief that intellectual and academic abilities can be developed) along with SR processes in which students set goals, self-monitor, and use strategies to engage motivationally, metacognitively, and behaviorally through challenging tasks. Students (n = 69) were randomly assigned to business-as-usual control and the two versions of fractions intervention. Multilevel models, accounting for the nested structure of the data, identified a moderation effect on fraction word problems: For students receiving fractions intervention with embedded SR, response to intervention was robust across the continuum of students' pretest word problem skill; by contrast, without SR, response to fractions intervention depended on students' pretest word problem skill. On the remaining outcomes, results reflected stronger outcomes when fractions intervention embedded SR instruction without moderation. [This paper will be published in the ""Journal of Learning Disabilities.""]",R324D130003,
,,38,ERIC,The Role of Pre-Algebraic Reasoning within a Word-Problem Intervention for Third-Grade Students with Mathematics Difficulty,"Powell, Sarah R.","Berry, Katherine A.","Barnes, Marcia A.",,,,,,,,Grade 3,Mathematics Instruction,Elementary School Students,Difficulty Level,Word Problems (Mathematics),Problem Solving,Algebra,Abstract Reasoning,Intervention,Schemata (Cognition),Comparative Analysis,Teaching Methods,Role,Thinking Skills,,,,,,,,,,,,,ZDM: The International Journal on Mathematics Education,v52 n1 p151-163 Apr 2020,http://dx.doi.org/10.1007/s11858-019-01093-1,EJ1243933,52,1,151-163,43922,http://eric.ed.gov/?id=EJ1243933,"Students in the elementary grades often experience difficulty setting up and solving word problems. Using an equation to represent the structure of the problem serves as an effective tool for solving word problems, but students may require specific pre-algebraic reasoning instruction about the equal sign as a relational symbol to set up and solve such equations successfully. We identified students with mathematics difficulty (n = 138) from a sample of 916 third-grade students. We randomly assigned students to a word-problem intervention with a pre-algebraic reasoning component, a word-problem intervention without pre-algebraic reasoning, or the business-as-usual. Students in the 2 active intervention conditions participated in 45 individual sessions and learned about 3 additive word-problem schemas. Students who received word-problem intervention with a pre-algebraic reasoning component demonstrated improved nonstandard equation solving, equal sign understanding, and word-problem solving compared to students in the other two conditions. [For the corresponding grantee submission, see ED598469.]",R324A150078,
,,39,ERIC,Enriching Student Concept Images: Teaching and Learning Fractions through a Multiple-Embodiment Approach,"Zhang, Xiaofen","Clements, M. A.","Ellerton, Nerida F.",,,,,,,,Grade 5,Mathematics Instruction,Elementary School Mathematics,Mathematical Concepts,Concept Formation,Pretests Posttests,Interviews,Intervention,Instructional Effectiveness,Mathematics Achievement,,,,,,,,,,,,,,,,,Mathematics Education Research Journal,v27 n2 p201-231 Jun 2015,http://dx.doi.org/10.1007/s13394-014-0137-4,EJ1059867,27,2,201-231,42156,http://eric.ed.gov/?id=EJ1059867,"This study investigated how fifth-grade children's concept images of the unit fractions represented by the symbols 1/2, 1/3/ and 1/4 changed as a result of their participation in an instructional intervention based on multiple embodiments of fraction concepts. The participants' concept images were examined through pre- and post-teaching written questions and pre- and post-teaching one-to-one verbal interview questions. Results showed that at the pre-teaching stage, the student concept images of unit fractions were very narrow and mainly linked to area models. However, after the instructional intervention, the fifth graders were able to select and apply a variety of models in response to unit fraction tasks, and their concept images of unit fractions were enriched and linked to capacity, perimeter, linear and discrete models, as well as to area models. Their performances on tests had improved, and their conceptual understandings of unit fractions had developed.",,
,,40,ERIC,Building Kindergartners' Number Sense: A Randomized Controlled Study,"Jordan, Nancy C.","Glutting, Joseph","Dyson, Nancy","Hassinger-Das, Brenna","Irwin, Casey",,,,,,Problem Solving,Intervention,Control Groups,Mathematics Education,Kindergarten,Mathematics Achievement,Pretests Posttests,Scores,Core Curriculum,State Standards,Alignment (Education),Elementary School Students,Low Income Groups,Effect Size,Mathematics Instruction,,,,,,,,,,,,Journal of Educational Psychology,v104 n3 p647-660 Aug 2012,http://dx.doi.org/10.1037/a0029018,EJ993880,104,3,647-660,12-Aug,http://eric.ed.gov/?id=EJ993880,"Math achievement in elementary school is mediated by performance and growth in number sense during kindergarten. The aim of the present study was to test the effectiveness of a targeted small-group number sense intervention for high-risk kindergartners from low-income communities. Children were randomly assigned to 1 of 3 groups (n = 44 in each group): a number sense intervention group, a language intervention group, or a business-as-usual control group. Accounting for initial skill level in mathematical knowledge, children who received the number sense intervention performed better than controls at immediate posttest, with meaningful effects on measures of number competencies and general math achievement. Many of the effects held 8 weeks after the intervention was completed, suggesting that children internalized what they had learned. There were no differences between the language and control groups on any math-related measures. (Contains 6 tables and 2 footnotes.)",,
,,41,ERIC,An Analysis of Motivation Strategies Used within the Small-Group Accelerating Mathematics Performance through Practice Strategies (AMPPS-SG) Program,"Begeny, John C.","Codding, Robin S.","Wang, Jiayi","Hida, Rahma M.","Patterson, Sierra L.","Kessler, Sarah","Fields-Turner, Felicia","Ramos, Kimberly A.",,,Program Effectiveness,Student Motivation,Mathematics Instruction,Intervention,Grade 2,Elementary School Students,Mathematics Skills,Computation,Teaching Methods,Goal Orientation,Feedback (Response),Positive Reinforcement,Contingency Management,Small Group Instruction,,,,,,,,,,,,,Psychology in the Schools,v57 n4 p540-555 Apr 2020,http://dx.doi.org/10.1002/pits.22334,EJ1245330,57,4,540-555,43922,http://eric.ed.gov/?id=EJ1245330,"More than half of students in the USA perform below a proficient level in math. Although evidence suggests that intervention in elementary school is critical to supporting struggling learners, and there are several research-supported instructional practices to support students with math difficulties, the existing research is limited with regard to the impact of motivational strategies designed to improve students' math skills. This study examined the effectiveness of specific motivational strategies used in the small-group Accelerating Mathematics Performance through Practice Strategies (AMPPS-SG) intervention program. A multiple baseline design was used with three instructional groups of second grade students to compare the relative effectiveness of three different conditions on students' math computation skills. Condition 1 included all of the AMPPS-SG instructional components. Condition 2 included all instructional procedures as well as goal-setting, performance feedback, and reinforcement for performance. Condition 3 included all components used in Condition 2, as well as a group-based reward contingency. Results showed that students' performance during Condition 3 was significantly better than performance during Conditions 1 and 2.",,
,,42,ERIC,"A Comparison of the Mystery Motivator and the ""Get 'Em On Task"" Interventions for Off-Task Behaviors","Kraemer, Elisabeth E.","Davies, Susan C.","Arndt, Kelli Jo","Hunley, Sawyer",,,,,,,Behavior Modification,Grade 5,Elementary School Teachers,Comparative Analysis,Intervention,Academic Achievement,Federal Legislation,Elementary School Students,English Instruction,Mathematics Instruction,,,,,,,,,,,,,,,,,Psychology in the Schools,v49 n2 p163-175 Feb 2012,http://dx.doi.org/10.1002/pits.20627,EJ989742,49,2,163-175,40940,http://eric.ed.gov/?id=EJ989742,"Attending to instruction is a critical behavior for academic success. Many elementary school teachers, however, identify disruptive and inattentive classroom behaviors as key barriers to students' successful educational performance. This study examined the impact of two class-wide positive behavior support programs. The Mystery Motivator and ""Get 'Em On Task"" interventions were implemented in an alternating treatments design with fifth grade participants to decrease off-task behaviors. Results indicated that both interventions effectively decreased off-task behavior at the class-wide level. Implications and suggestions for future research on evidence-based behavioral interventions are discussed. (Contains 2 tables and 2 figures.)",,
,,43,ERIC,Documenting Increased Participation of a Student with Autism in the Standards for Mathematical Practice,"Lambert, Rachel","Sugita, Trisha","Yeh, Cathery","Hunt, Jessica H.","Brophy, Shayne",,,,,,Autism,Pervasive Developmental Disorders,Student Participation,Mathematics Instruction,Grade 5,Elementary School Students,Mathematical Logic,Intervention,Peer Influence,Cooperative Learning,Group Discussion,Verbal Communication,Nonverbal Communication,Program Effectiveness,Neurological Organization,Problem Solving,,,,,,,,,,,Journal of Educational Psychology,v112 n3 p494-513 Apr 2020,http://dx.doi.org/10.1037/edu0000425,EJ1247135,112,3,494-513,43922,http://eric.ed.gov/?id=EJ1247135,"The Common Core State Standards articulate expectations for student participation in mathematical reasoning, sense making, and discussion. Yet little to no research explores the participation of students with autism in these practices. Drawing on neurodiversity and situated sociocultural theory, this article offers a case study of the mathematics engagement of Oscar, a fifth-grade student with autism, over the duration of 1 school year. Using field notes, videotapes of classroom interactions, student work, and teacher and student interviews, we examined the influence of the classroom activity system on this student's participation in mathematical reasoning and discourse before and after a classroom intervention targeted to improve student engagement by making participation norms more explicit. Prior to the classroom intervention, Oscar did not participate verbally in small-group or whole-group mathematical discussion. After the classroom intervention, along with additional scaffolds such as increased peer accountability and collaborative strategy shares, Oscar increased his verbal and nonverbal participation in both small- and whole-group discussion. Through our year-long study, Oscar shifted from a student who did not speak in math class to one who explained his mathematical thinking in multiple contexts. We call for additional qualitative research in mathematics that seeks to understand the unique participation of students with autism, seeking understanding of how to better include these students in the Standards for Mathematical Practice.",,
,,44,ERIC,A Warning Intervention Improves Students' Ability to Overcome Intuitive Interference,"Babai, Reuven","Shalev, Enav","Stavy, Ruth",,,,,,,,Intervention,Interference (Learning),Brain Hemisphere Functions,Grade 6,Reaction Time,Tests,Comparative Analysis,Experimental Groups,Control Groups,Inhibition,Coping,Mathematics Instruction,,,,,,,,,,,,,,,ZDM: The International Journal on Mathematics Education,v47 n5 p735-745 Sep 2015,http://dx.doi.org/10.1007/s11858-015-0670-y,EJ1072506,47,5,735-745,42248,http://eric.ed.gov/?id=EJ1072506,"Students' difficulties in mathematics and science may stem from interference of the task's salient irrelevant variables. Here, we focus on a comparison of perimeters task, in which the area is the irrelevant salient variable. In congruent trials (no interference), accuracy is higher and reaction time is shorter than in incongruent trials (area variable interference). A brain-imaging study related to this task indicated that correctly answering the incongruent condition is associated with activation in prefrontal brain regions known for their executive inhibitory control. These findings suggested that intervention aimed at activating inhibitory control mechanisms could improve students' success. In this paper, we explore the effect of an intervention that explicitly warns about the possible interference of the variable ""area."" Eighty-four sixth graders performed the same comparison of perimeters reaction time test, with warning intervention (warning group) or without it (control group). Accuracy in the warning group was significantly higher in incongruent conditions and reaction time was significantly longer in all conditions than in the control group. The results suggest that the explicit warning activates inhibitory control mechanisms and thus helps students overcome the interference. The findings point to the possibility of improving students' problem-solving abilities through simple and focused interventions that explicitly warn them about the trap in the task. Such research-based simple interventions appear to require only teachers' knowledge and awareness and could complement the traditional educational technique of supporting relevant content knowledge.",,
,,45,ERIC,Allowing Students to Administer Their Own Interventions: An Application of the Self-Administered Folding-In Technique,"Hulac, David M.","Wickerd, Garry","Vining, Odell",,,,,,,,Intervention,Grade 4,Self Efficacy,At Risk Students,Multiplication,Mathematics Activities,Mathematics Achievement,Achievement Gains,Rural Schools,Special Education,Mathematics Instruction,Teaching Methods,Delivery Systems,,,,,,,,,,,,,,Rural Special Education Quarterly,v32 n2 p31-36 Jun 2013,http://dx.doi.org/10.1177/875687051303200206,EJ1147771,32,2,31-36,41426,http://eric.ed.gov/?id=EJ1147771,"This study sought to determine the efficacy of a self-administered folding-in technique to help fourth grade students at-risk for math difficulties improve their fluency with multiplication facts. The investigators used a multiple baseline across participants design during a two-phase intervention. While 4 of the 5 students made progress during the first phase of the intervention, all student participants demonstrated significant gains in math fact performance during the second phase of the intervention. During the second phase, the investigators divided the students' cards into known and unknown piles weekly. This preliminary research suggests interspersal technology may allow students to make progress on fluency tasks with limited adult supervision.",,
,,46,ERIC,Benefits of the Michiana Daily Mathtracks Programme for Students Living in Poverty,"Davies, Randall S.","Qudisat, Rasha M.",,,,,,,,,Mathematics Instruction,Intervention,Urban Areas,At Risk Students,Elementary School Students,Low Income Groups,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Mathematics Skills,Computation,Pretests Posttests,Quasiexperimental Design,Control Groups,Experimental Groups,Comparative Analysis,Socioeconomic Influences,School Districts,Achievement Gap,Program Effectiveness,Scores,Statistical Inference,Statistical Analysis,Standardized Tests,Educational Research and Evaluation,v21 n4 p301-323 2015,http://dx.doi.org/10.1080/13803611.2015.1047783,EJ1068531,21,4,301-323,2015,http://eric.ed.gov/?id=EJ1068531,"This paper summarizes results from a math intervention implemented in a high-poverty urban community. Over 7,300 students from kindergarten to 4th grade in 1 low-socioeconomic-status school district participated in the study. Students from 13 different schools (36 different classroom) participated in the treatment. Comparisons were made to purposely selected control-group schools and all other students in the district. The aim of the intervention was to help early elementary-age students living in poverty learn essential math facts and master basic computational skills as a foundation for improving their math ability. The study used a pre-test/post-test quasi-experimental design with control and treatment groups. Achievement for both groups was compared to that of the school district as a whole, with analysis disaggregated by poverty status. The results found positive gains in the treatment group's math achievement at every grade level, transcending differences in socioeconomic status.",,
,,47,ERIC,Effects of a Strategic Intervention with iPad Practice on the Multiplication Fact Performance of Fifth-Grade Students with Learning Disabilities,"Ok, Min Wook","Bryant, Diane Pedrotty",,,,,,,,,Grade 5,Intervention,Telecommunications,Handheld Devices,Mathematics,Mathematics Instruction,Mathematics Education,Technology Uses in Education,Pretests Posttests,Elementary School Mathematics,Elementary School Students,,,,,,,,,,,,,,,,Learning Disability Quarterly,v39 n3 p146-158 Aug 2016,http://dx.doi.org/10.1177/0731948715598285,EJ1108110,39,3,146-158,42583,http://eric.ed.gov/?id=EJ1108110,"This study investigated the effects of explicit, strategic intervention with iPad application practice on the multiplication fact performance and strategy use of elementary students with learning disabilities (LD) using a single-case, multiple probe design across participants. Four fifth-grade students with LD received 15 1:1 intervention sessions in multiplication facts. Results indicated that all students made significant growth in multiplication fact performance across the study and maintained the intervention gains 2 weeks following the intervention. Overall, students increased their use of a doubling strategy taught during intervention and were able to retrieve facts automatically after intervention sessions. Social validity interview results indicated that participants had positive perspectives about the intervention. Implications for practice and suggestions for future research are discussed.",,
,,48,ERIC,Fraction Interventions for Struggling Elementary Math Learners: A Review of the Literature,"Roesslein, Rachel I.","Codding, Robin S.",,,,,,,,,Fractions,Intervention,Elementary School Mathematics,Elementary School Students,Mathematics Skills,Mathematical Concepts,Evidence Based Practice,Teaching Methods,Mathematics Achievement,Low Achievement,,,,,,,,,,,,,,,,,Psychology in the Schools,v56 n3 p413-432 Mar 2019,http://dx.doi.org/10.1002/pits.22196,EJ1204830,56,3,413-432,43525,http://eric.ed.gov/?id=EJ1204830,"Understanding fractions has been a pervasively difficult skill for struggling math learners, yet it is essential for success in secondary level mathematics skills. The present systematic review examined the evidence base of fraction interventions for elementary level students identified as struggling math learners. Twelve studies met inclusion criteria and were reviewed for (a) instructional focus (b) instructional components, and (c) effectiveness of the intervention on fraction performance. The majority of studies had a primary instructional focus on conceptual knowledge of fraction learning. Results of the study also indicated that all interventions included multiple evidence-based instructional components (e.g., concrete and visual representations, range and sequence of examples, etc.). These multicomponent interventions improved performance on a variety of proximal fraction outcome measures. Intervention effects were mixed for generalized outcome measures and minimal for distal outcome measures. Limitations, implications for practice, and future research directions are discussed.",,
,,49,ERIC,Learning with Technology: Video Modeling with Concrete-Representational-Abstract Sequencing for Students with Autism Spectrum Disorder,"Yakubova, Gulnoza","Hughes, Elizabeth M.","Shinaberry, Megan",,,,,,,,Intervention,Video Technology,Autism,Pervasive Developmental Disorders,Elementary School Students,Outcomes of Treatment,Modeling (Psychology),Teaching Methods,Mathematics Instruction,Mathematical Concepts,Skill Development,,,,,,,,,,,,,,,,Journal of Autism and Developmental Disorders,v46 n7 p2349-2362 Jul 2016,http://dx.doi.org/10.1007/s10803-016-2768-7,EJ1103830,46,7,2349-2362,42552,http://eric.ed.gov/?id=EJ1103830,"The purpose of this study was to determine the effectiveness of a video modeling intervention with concrete-representational-abstract instructional sequence in teaching mathematics concepts to students with autism spectrum disorder (ASD). A multiple baseline across skills design of single-case experimental methodology was used to determine the effectiveness of the intervention on the acquisition and maintenance of addition, subtraction, and number comparison skills for four elementary school students with ASD. Findings supported the effectiveness of the intervention in improving skill acquisition and maintenance at a 3-week follow-up. Implications for practice and future research are discussed.",,
Available,Peer Reviewed,50,ERIC,Examining the Impact of Group Size on the Treatment Intensity of a Tier 2 Mathematics Intervention within a Systematic Framework of Replication,"Doabler, Christian T.","Clarke, Ben","Kosty, Derek","Kurtz-Nelson, Evangeline","Fien, Hank","Smolkowski, Keith","Baker, Scott K.",,,,Intervention,Program Effectiveness,Mathematics Instruction,Learning Problems,Kindergarten,Peer Teaching,Small Group Instruction,At Risk Students,Independent Study,Teaching Methods,,,,,,,,,,,,,,,,,Journal of Learning Disabilities,v52 n2 p168-180 Mar-Apr 2019,http://dx.doi.org/10.1177/0022219418789376,EJ1203634,52,2,168-180,Mar-Apr 2019,http://eric.ed.gov/?id=EJ1203634,"Group size and treatment intensity are understudied topics in mathematics intervention research. This study examined whether the treatment intensity and overall intervention effects of an empirically validated Tier 2 mathematics intervention varied between intervention groups with 2:1 and 5:1 student-teacher ratios. Student practice opportunities and the quality of explicit instruction served as treatment intensity metrics. A total of 465 kindergarten students with mathematics difficulties from 136 intervention groups participated. Results suggested comparable performances between the 2:1 and 5:1 intervention groups on six outcome measures. Observation data indicated that student practice differed by group size. Students in the 5:1 groups received more opportunities to practice with their peers, while students in the 2:1 groups participated in more frequent and higher quality individualized practice opportunities. Implications in terms of delivering Tier 2 interventions in small-group formats and engaging at-risk learners in meaningful practice opportunities are discussed.",R324A120304,
,,51,ERIC,Effect of Modifying Intervention Set Size with Acquisition Rate Data While Practicing Single-Digit Multiplication Facts,"Burns, Matthew K.","Zaslofsky, Anne F.","Maki, Kathrin E.","Kwong, Elena",,,,,,,Intervention,Multiplication,Grade 3,Grade 4,Elementary School Students,Statistical Analysis,Mathematics,Mathematics Instruction,,,,,,,,,,,,,,,,,,,Assessment for Effective Intervention,v41 n3 p131-140 Jun 2016,http://dx.doi.org/10.1177/1534508415593529,EJ1098528,41,3,131-140,42522,http://eric.ed.gov/?id=EJ1098528,"Incremental rehearsal (IR) has consistently led to effective retention of newly learned material, including math facts. The number of new items taught during one intervention session, called the intervention set, could be used to individualize the intervention. The appropriate amount of information that a student can rehearse and later recall during one intervention session is called the acquisition rate (AR). The current study taught single-digit multiplication facts with factors of 6, 7, and 8 to 55 third- and fourth-grade students. Each student was randomly assigned to be taught two multiplication math facts, eight multiplication math facts, or a set size determined by each student's AR. The average AR was 4.05 (SD = 0.71). Set size led to a significant and large effect on retention, percentage of multiplication math facts retained, and efficiency as computed by math facts retained per minute of intervention time. IR appeared to be an effective intervention when AR data were used to determine the intervention set size, and it was more efficient to do so.",,
,,52,ERIC,The Effects of the Concrete-Representational-Abstract Sequence for Students at Risk for Mathematics Failure,"Hinton, Vanessa M.","Flores, Margaret M.",,,,,,,,,Mathematics Education,Mathematical Concepts,Mathematics Instruction,Teaching Methods,Evidence Based Practice,Fractions,Elementary School Students,At Risk Students,Academic Failure,Intervention,,,,,,,,,,,,,,,,,Journal of Behavioral Education,v28 n4 p493-516 Dec 2019,http://dx.doi.org/10.1007/s10864-018-09316-3,EJ1234600,28,4,493-516,43800,http://eric.ed.gov/?id=EJ1234600,"Students who have difficulty with mathematics may have trouble understanding underlying concepts of numbers and operations. The concrete-representational-abstract (CRA) instructional sequence of instruction provides a way for teachers to help students gain meaning from numbers and the mathematical concepts those numbers represent. This study addresses evidence-based practices and applies CRA methods to instruction address concepts such as rounding, regrouping, and equivalent fractions. The purpose of this study was to investigate the effects of CRA instruction on the performance of elementary students across varied areas of need related to poor conceptual understanding and proficiency in completing tasks related to numbers and operations. The researchers implemented a multiple baseline across behaviors design for two students who were at risk for mathematics failure. A functional relation was found for CRA intervention and rounding, regrouping, and fraction concepts for the two students. Results and implications are discussed.",,
,,53,ERIC,"Research-Based Interventions in the Area of Proof: The Past, the Present, and the Future","Stylianides, Gabriel J.","Stylianides, Andreas J.",,,,,,,,,Validity,Mathematical Logic,Intervention,Mathematics Instruction,Educational Research,Elementary School Mathematics,Secondary School Mathematics,College Mathematics,Evidence Based Practice,Teaching Methods,,,,,,,,,,,,,,,,,Educational Studies in Mathematics,v96 n2 p119-127 Oct 2017,http://dx.doi.org/10.1007/s10649-017-9782-3,EJ1156025,96,2,119-127,43009,http://eric.ed.gov/?id=EJ1156025,"The concept of ""proof"" has attracted considerable research attention over the past decades in part due to its indisputable importance to the discipline of mathematics and to students' learning of mathematics. Yet, the teaching and learning of proof is an instructionally arduous territory, with proof being recognized as a hard-to-teach and hard-to-learn concept at all levels of education. Prior research has examined, documented, and cast light on the processes underpinning different problems of classroom practice in the area of proof, but has paid less emphasis on acting upon such problems to generate possible solutions through research-based interventions in mathematics classrooms. In this Editorial, we first situate the contributions in this Special Issue in a brief chronological account of scholarly work on research-based interventions in the area of proof, and we conclude with a proposal for some high-leverage directions for future research.",,
